ID,Decision,Line,Event,Visible cue,Exact condition,Must not trigger,Emotion,Flavour,Extra requirement
L237,,New talent. I might surprise myself.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",hopeful,relatable,
L238,,Talent unlocked. Hard work occasionally pays.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",satisfied,work,
L239,,Another trick learned. Keep that grin quiet.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",self-conscious,relatable,
L240,,New talent. Better than another bad habit.,New talent learned,A newly purchased talent lights up.,An intentional first-rank talent purchase succeeds and the new unlocked state is visible. Tutorial/narration has finished.,"No hover, repeated rank, locked node, debug grant or hidden change. Do not claim a physical effect before use.",wry,relatable,
L241,,Blessing's lit. That's better.,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",relieved,warmth,
L242,,A blessing. I'll accept the help.,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",soft,vulnerable,
L243,,Fire's blessing. Warmth with benefits.,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",amused,bad-joke,
L244,,"Blessing taken. Thank you, old friend.",Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",tender,mystery,
L245,,That blessing feels like a second chance.,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",reflective,warmth,
L246,,Blessing's burning. Let's make it count.,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",resolute,practical,
L247,,A blessing. Even I need looking after.,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",self-conscious,relatable,
L248,,"Thank you, fire. I needed the blessing.",Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",warm,warmth,
L249,,Blessing lit. Almost feels like being welcome.,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",wistful,mystery,
L250,,A fire's blessing. Better than cold advice.,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",dry,bad-joke,
L251,,Blessing's ready. Back to earning it.,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",steady,work,
L252,,Blessed again. Don't let it get around.,Campfire blessing ignited,You deliberately ignite a blessing at the fire.,A deliberate campfire-menu action spends a charge and activates a blessing. Ignition is visible and the player remains nearby.,"No automatic refill, walking past, menu opening or failed activation.",crooked,dark-humour,
L253,,Bigger fire. Better company.,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",warm,warmth,
L254,,Look at that fire grow.,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",awed,practical,
L255,,A proper flame now. Good.,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",pleased,warmth,
L256,,Fire's grown. I helped with that.,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",proud,relatable,
L257,,Bigger flame. Bigger excuse to sit.,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",amused,bad-joke,
L258,,"There you go, fire. Room to breathe.",Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",tender,warmth,
L259,,Fire's bigger. The welcome feels warmer.,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",relieved,warmth,
L260,,Flame's grown. Try not to look proud.,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",self-conscious,relatable,
L261,,A bigger fire. Beats a bigger debt.,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",dry,bad-joke,
L262,,That flame remembers how to grow.,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",quiet,mystery,
L263,,Bigger fire. Someone's doing well.,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",fond,warmth,
L264,,Fire's growing. Worth what I spent.,Campfire grows,The upgraded campfire visibly becomes larger.,A successful tier upgrade commits. The growth reveal finishes and the larger flame remains visible.,"No flicker, routine blessing, loaded state or hidden upgrade. One reaction if the tree also grows.",satisfied,work,
L265,,"The tree's grown. Well done, old thing.",Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",tender,warmth,
L266,,Look at that tree. Still trying.,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",warm,relatable,
L267,,Bigger tree. Better place to come back.,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",pleased,warmth,
L268,,Worldroot's growing. I won't pretend I don't care.,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",soft,warmth,
L269,,The tree grew. Show-off.,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",playful,bad-joke,
L270,,More tree. Less reason to leave.,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",wistful,warmth,
L271,,Tree's grown again. I remember it smaller.,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",reflective,mystery,
L272,,Look at Worldroot grow. Stubborn as me.,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",fond,relatable,
L273,,A bigger tree. Something's going right.,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",relieved,warmth,
L274,,Worldroot's grown. I owe it a visit.,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",gentle,warmth,
L275,,Tree's growing. Better management than my last job.,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",dry,bad-joke,
L276,,The tree grew. I'll take some credit.,Worldroot grows,The tree's silhouette visibly grows.,A new Worldroot growth stage becomes visible; its reveal finishes while the player can clearly see the tree.,"No swaying leaves, off-screen change, save restoration or second reaction to the same Campfire upgrade.",self-conscious,relatable,
L277,,I like people. In manageable quantities.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",dry,relatable,
L278,,My best plans involve a chair.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",weary,relatable,
L279,,I tried retirement. Couldn't afford the hobby.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",amused,bad-joke,
L280,,I had another name. Never liked it.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",confiding,mystery,
L281,,"I should write home. Which one, though?",Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",wistful,mystery,
L282,,Clean socks. That's the real dream.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",hopeful,relatable,
L283,,I've been called worse. Usually by friends.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",crooked,relatable,
L284,,Still haven't learned to say no.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",resigned,relatable,
L285,,It wasn't a cult. We had snacks.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",defensive,dark-humour,
L286,,I had a digging joke. Buried it.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",amused,bad-joke,
L287,,Remind me to develop a cheaper personality.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",wry,bad-joke,
L288,,I still owe a dead man dinner.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",quiet,mystery,
L289,,"Some nights, I remember a different moon.",Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",wistful,mystery,
L290,,I miss someone. That narrows it down.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",soft,vulnerable,
L291,,Flirting used to be easier than apologizing.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",rueful,innuendo,
L292,,Being decent is a bloody expensive habit.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",dry,relatable,
L293,,Nobody back home would believe this job.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",reflective,mystery,
L294,,I used to be taller. Long story.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",confiding,mystery,
L295,,I should charge extra for optimism.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",amused,work,
L296,,"I miss the sea. Strange, that.",Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",soft,mystery,
L297,,My reputation's worse than my cooking. Barely.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",crooked,bad-joke,
L298,,Don't tell anyone I enjoyed myself.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",self-conscious,warmth,
L299,,"I'd make a terrible saint. Good listener, though.",Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",warm,dark-humour,
L300,,I remember home. Just not its name.,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",quiet,mystery,
