ID,Decision,Line,Emotion,Flavour,Event,Visible cue,Exact condition,Must not trigger,Extra requirement,Recording status,Existing takes,Note
L280,yes,I had another name. Never liked it.,confiding,mystery,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L281,yes,"I should write home. Which one, though?",wistful,mystery,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L282,yes,Clean socks. That's the real dream.,hopeful,relatable,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L283,yes,I've been called worse. Usually by friends.,crooked,relatable,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L284,yes,Still haven't learned to say no.,resigned,relatable,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L285,yes,It wasn't a cult. We had snacks.,defensive,dark-humour,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L286,yes,I had a digging joke. Buried it.,amused,bad-joke,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L287,yes,Remind me to develop a cheaper personality.,wry,bad-joke,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L289,yes,"Some nights, I remember a different moon.",wistful,mystery,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L290,yes,I miss someone. That narrows it down.,soft,vulnerable,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L293,yes,Nobody back home would believe this job.,reflective,mystery,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L294,yes,I used to be taller. Long story.,confiding,mystery,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L295,yes,I should charge extra for optimism.,amused,work,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L296,yes,"I miss the sea. Strange, that.",soft,mystery,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L297,yes,My reputation's worse than my cooking. Barely.,crooked,bad-joke,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L298,yes,Don't tell anyone I enjoyed myself.,self-conscious,warmth,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L299,yes,"I'd make a terrible saint. Good listener, though.",warm,dark-humour,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
L300,yes,I remember home. Just not its name.,quiet,mystery,Rare wandering thoughts,A quiet thought; no event required.,"After 27-33 minutes of active, visible gameplay, choose one context-independent thought while the player is safe and all speech lanes are quiet.","No NPC/shop dialogue, cinematics, narration, danger, menus, pause or hidden tab. Never catch up missed lines.",,Needs new recording,0,
